,mouse,session,fiber side,trial numbers,trial type,side,outcome,last trial type,last choice,last outcome,next trial type,next choice,next outcome,norm APE,stay or switch
0,SNL_photo21,20200829,left,230.0,5.0,contra,1.0,7.0,contra,1.0,7.0,contra,1.0,5.250805306777314,stay
1,SNL_photo21,20200829,left,473.0,5.0,contra,1.0,6.0,ipsi,0.0,3.0,ipsi,1.0,5.224231038068954,switch
2,SNL_photo21,20200829,left,271.0,5.0,contra,1.0,5.0,contra,1.0,4.0,contra,1.0,5.163415006109715,stay
3,SNL_photo21,20200829,left,503.0,6.0,contra,1.0,2.0,ipsi,1.0,4.0,contra,0.0,4.7258488374861685,switch
4,SNL_photo21,20200829,left,222.0,5.0,contra,1.0,4.0,ipsi,0.0,4.0,ipsi,0.0,3.948781972102309,switch
5,SNL_photo21,20200829,left,377.0,7.0,contra,1.0,6.0,ipsi,0.0,2.0,contra,0.0,3.9174030126101425,switch
6,SNL_photo21,20200829,left,177.0,6.0,contra,1.0,4.0,ipsi,0.0,7.0,contra,1.0,3.9034534400716105,switch
7,SNL_photo21,20200829,left,340.0,3.0,ipsi,1.0,5.0,contra,1.0,1.0,ipsi,1.0,3.852363847998299,switch
8,SNL_photo21,20200829,left,334.0,6.0,contra,1.0,2.0,ipsi,1.0,3.0,ipsi,1.0,3.618664004527167,switch
9,SNL_photo21,20200829,left,455.0,6.0,ipsi,0.0,6.0,ipsi,0.0,1.0,ipsi,1.0,3.495213672640253,stay
10,SNL_photo21,20200829,left,368.0,6.0,contra,1.0,1.0,ipsi,1.0,1.0,ipsi,1.0,3.479664158585941,switch
11,SNL_photo21,20200829,left,231.0,7.0,contra,1.0,5.0,contra,1.0,4.0,contra,1.0,3.4708981273384594,stay
12,SNL_photo21,20200829,left,122.0,7.0,contra,1.0,5.0,contra,1.0,3.0,contra,0.0,3.328268867269281,stay
13,SNL_photo21,20200829,left,118.0,7.0,contra,1.0,7.0,contra,1.0,5.0,contra,1.0,3.3241329449367645,stay
14,SNL_photo21,20200829,left,203.0,3.0,contra,0.0,6.0,ipsi,0.0,7.0,contra,1.0,3.322056268565233,switch
15,SNL_photo21,20200829,left,395.0,4.0,contra,1.0,5.0,contra,1.0,2.0,contra,0.0,3.254632815416499,stay
16,SNL_photo21,20200829,left,320.0,4.0,contra,1.0,1.0,ipsi,1.0,6.0,contra,1.0,3.128644787875018,switch
17,SNL_photo21,20200829,left,185.0,7.0,contra,1.0,4.0,ipsi,0.0,2.0,contra,0.0,3.1265880843296445,switch
18,SNL_photo21,20200829,left,184.0,4.0,ipsi,0.0,6.0,ipsi,0.0,7.0,contra,1.0,3.1165095273498906,stay
19,SNL_photo21,20200829,left,40.0,7.0,contra,1.0,5.0,contra,1.0,2.0,contra,0.0,3.0834133891251123,stay
20,SNL_photo21,20200829,left,419.0,7.0,contra,1.0,2.0,ipsi,1.0,6.0,contra,1.0,3.0465455951149805,switch
21,SNL_photo21,20200829,left,301.0,1.0,ipsi,1.0,5.0,contra,1.0,7.0,contra,1.0,3.025284579105389,switch
22,SNL_photo21,20200829,left,261.0,7.0,contra,1.0,3.0,ipsi,1.0,5.0,ipsi,0.0,3.006081010214147,switch
