,mouse,session,fiber side,trial numbers,trial type,side,outcome,last trial type,last choice,last outcome,next trial type,next choice,next outcome,norm APE,stay or switch
0,SNL_photo28,20201211,left,116.0,2.0,ipsi,1.0,2.0,ipsi,1.0,7.0,contra,1.0,3.217548129874259,stay
1,SNL_photo28,20201211,left,104.0,7.0,contra,1.0,2.0,contra,0.0,2.0,contra,0.0,2.792721386326151,stay
2,SNL_photo28,20201211,left,438.0,6.0,contra,1.0,4.0,contra,1.0,4.0,contra,1.0,2.5822563713712077,stay
3,SNL_photo28,20201211,left,170.0,2.0,ipsi,1.0,4.0,contra,1.0,6.0,contra,1.0,2.520448831157748,switch
4,SNL_photo28,20201211,left,242.0,2.0,ipsi,1.0,2.0,ipsi,1.0,7.0,contra,1.0,2.466215240819892,stay
5,SNL_photo28,20201211,left,63.0,3.0,ipsi,1.0,5.0,ipsi,0.0,4.0,ipsi,1.0,2.4605305302364755,stay
6,SNL_photo28,20201211,left,293.0,3.0,ipsi,1.0,7.0,contra,1.0,3.0,ipsi,1.0,2.45958780047938,switch
7,SNL_photo28,20201211,left,586.0,3.0,ipsi,1.0,4.0,contra,0.0,7.0,contra,1.0,2.423150943720958,switch
8,SNL_photo28,20201211,left,265.0,1.0,ipsi,1.0,7.0,contra,1.0,2.0,ipsi,1.0,2.4194090831251605,switch
9,SNL_photo28,20201211,left,616.0,2.0,ipsi,1.0,7.0,ipsi,0.0,7.0,contra,1.0,2.412734864950981,stay
10,SNL_photo28,20201211,left,351.0,1.0,ipsi,1.0,6.0,ipsi,0.0,3.0,ipsi,1.0,2.3913196538139045,stay
11,SNL_photo28,20201211,left,568.0,1.0,ipsi,1.0,1.0,ipsi,1.0,1.0,ipsi,1.0,2.38245355632528,stay
12,SNL_photo28,20201211,left,60.0,2.0,ipsi,1.0,3.0,contra,0.0,4.0,ipsi,1.0,2.382232671970248,switch
13,SNL_photo28,20201211,left,64.0,4.0,ipsi,1.0,3.0,ipsi,1.0,7.0,contra,1.0,2.3786669271583514,stay
14,SNL_photo28,20201211,left,86.0,1.0,ipsi,1.0,5.0,ipsi,0.0,5.0,ipsi,0.0,2.324122554174101,stay
15,SNL_photo28,20201211,left,429.0,6.0,contra,1.0,4.0,contra,1.0,4.0,contra,1.0,2.3033721982284914,stay
16,SNL_photo28,20201211,left,22.0,1.0,ipsi,1.0,1.0,ipsi,1.0,5.0,contra,1.0,2.2984760006884666,stay
17,SNL_photo28,20201211,left,404.0,2.0,ipsi,1.0,2.0,ipsi,1.0,7.0,contra,1.0,2.2931191657757184,stay
18,SNL_photo28,20201211,left,399.0,3.0,ipsi,1.0,4.0,ipsi,1.0,4.0,ipsi,1.0,2.2900546451125523,stay
19,SNL_photo28,20201211,left,649.0,1.0,ipsi,1.0,6.0,contra,1.0,5.0,ipsi,0.0,2.284477899420122,switch
20,SNL_photo28,20201211,left,205.0,2.0,ipsi,1.0,4.0,contra,0.0,6.0,contra,1.0,2.282208493845396,switch
21,SNL_photo28,20201211,left,70.0,2.0,ipsi,1.0,4.0,contra,0.0,7.0,contra,1.0,2.278601815872744,switch
22,SNL_photo28,20201211,left,137.0,7.0,contra,1.0,6.0,contra,1.0,5.0,contra,1.0,2.270972924446908,stay
23,SNL_photo28,20201211,left,316.0,4.0,ipsi,1.0,4.0,contra,0.0,6.0,ipsi,0.0,2.2622720898286217,switch
24,SNL_photo28,20201211,left,189.0,1.0,ipsi,1.0,6.0,contra,1.0,6.0,contra,1.0,2.249648496846976,switch
